Key,Stream,Line_number,Time_stamp,Text,Label
0,"FOX.1488548520.002Z-1488548580.002Z.ts
","1
","00:00:20,871 --> 00:00:22,406
","<font face=""Monospace"">{\an7}>> THIS IS NOT SOMETHING WHY</font>

",0
1,"FOX.1488548520.002Z-1488548580.002Z.ts
","2
","00:00:22,406 --> 00:00:26,043
","<font face=""Monospace"">{\an7}>> THIS IS NOT SOMETHING WHY
PEOPLE WAIT, 36 HOURS TO GET THE</font>
",0
2,"FOX.1488548520.002Z-1488548580.002Z.ts
","3
","00:00:26,043 --> 00:00:27,444
","<font face=""Monospace"">{\an7}PEOPLE WAIT, 36 HOURS TO GET THE
HOT NEXT THING.</font>
",0
3,"FOX.1488548520.002Z-1488548580.002Z.ts
","4
","00:00:27,444 --> 00:00:29,046
","<font face=""Monospace"">{\an7}HOT NEXT THING.
>> IT’S COOL BY ALMOST ALL</font>
",0
4,"FOX.1488548520.002Z-1488548580.002Z.ts
","5
","00:00:29,046 --> 00:00:32,950
","<font face=""Monospace"">{\an7}>> IT’S COOL BY ALMOST ALL
ACCOUNTS, AND THE DEMAND IS VERY</font>
",0
5,"FOX.1488548520.002Z-1488548580.002Z.ts
","6
","00:00:32,950 --> 00:00:33,451
","<font face=""Monospace"">{\an7}ACCOUNTS, AND THE DEMAND IS VERY
HIGH.</font>
",0
6,"FOX.1488548520.002Z-1488548580.002Z.ts
","7
","00:00:33,450 --> 00:00:34,451
","<font face=""Monospace"">{\an7}HIGH.
LET’S GO TO ANTWAN LEWIS WHERE</font>
",0
7,"FOX.1488548520.002Z-1488548580.002Z.ts
","8
","00:00:34,451 --> 00:00:35,552
","<font face=""Monospace"">{\an7}LET’S GO TO ANTWAN LEWIS WHERE
THESE ARE AVAILABLE.</font>
",0
8,"FOX.1488548520.002Z-1488548580.002Z.ts
","9
","00:00:35,552 --> 00:00:39,189
","<font face=""Monospace"">{\an7}THESE ARE AVAILABLE.
AND PEOPLE ARE STILL WAITING.</font>
",0
9,"FOX.1488548520.002Z-1488548580.002Z.ts
","10
","00:00:39,189 --> 00:00:44,294
","<font face=""Monospace"">{\an7}AND PEOPLE ARE STILL WAITING.
>> OH, YEAH, TAKE A LOOK AT THIS</font>
",0
10,"FOX.1488548520.002Z-1488548580.002Z.ts
","11
","00:00:44,294 --> 00:00:45,796
","<font face=""Monospace"">{\an7}>> OH, YEAH, TAKE A LOOK AT THIS
LINE, SHOWING THE NUMBER OF</font>
",0
11,"FOX.1488548520.002Z-1488548580.002Z.ts
","12
","00:00:45,796 --> 00:00:47,698
","<font face=""Monospace"">{\an7}LINE, SHOWING THE NUMBER OF
PEOPLE WHO WERE OUT IN FRONT OF</font>
",0
12,"FOX.1488548520.002Z-1488548580.002Z.ts
","13
","00:00:47,698 --> 00:00:50,801
","<font face=""Monospace"">{\an7}PEOPLE WHO WERE OUT IN FRONT OF
THE ANYONE NINTENDO STORE THAT O</font>
",0
13,"FOX.1488548520.002Z-1488548580.002Z.ts
","14
","00:00:50,801 --> 00:00:53,671
","<font face=""Monospace"">{\an7}THE ANYONE NINTENDO STORE THAT O
IN A HALF-HOUR, STILL WAITING,</font>
",0
14,"FOX.1488548520.002Z-1488548580.002Z.ts
","15
","00:00:53,670 --> 00:00:55,305
","<font face=""Monospace"">{\an7}IN A HALF-HOUR, STILL WAITING,
FOR THEIR HANDS TO GET THEIR</font>
",0
15,"FOX.1488548520.002Z-1488548580.002Z.ts
","16
","00:00:55,305 --> 00:00:57,941
","<font face=""Monospace"">{\an7}FOR THEIR HANDS TO GET THEIR
HANDS ON THE NINTENDO SWITCH, IT</font>
",0
16,"FOX.1488548580.002Z-1488548640.000Z.ts
","1
","00:00:00,000 --> 00:00:02,052
","<font face=""Monospace"">{\an7}MIDNIGHT.</font>

",0
17,"FOX.1488548580.002Z-1488548640.000Z.ts
","2
","00:00:02,052 --> 00:00:03,654
","<font face=""Monospace"">{\an7}AS TERESA PRIOLO POINTED OUT,
MIDNIGHT.</font>
",0
18,"FOX.1488548580.002Z-1488548640.000Z.ts
","3
","00:00:03,654 --> 00:00:05,156
","<font face=""Monospace"">{\an7}AS TERESA PRIOLO POINTED OUT,
SOME PEOPLE HAVE BEEN WAITING</font>
",0
19,"FOX.1488548580.002Z-1488548640.000Z.ts
","4
","00:00:05,155 --> 00:00:07,057
","<font face=""Monospace"">{\an7}SOME PEOPLE HAVE BEEN WAITING
FOR DAYS.</font>
",0
20,"FOX.1488548580.002Z-1488548640.000Z.ts
","5
","00:00:07,057 --> 00:00:09,660
","<font face=""Monospace"">{\an7}FOR DAYS.
>> TO TELL YOU MORE ABOUT THE</font>
",0
21,"FOX.1488548580.002Z-1488548640.000Z.ts
","6
","00:00:09,660 --> 00:00:11,996
","<font face=""Monospace"">{\an7}>> TO TELL YOU MORE ABOUT THE
DEVICE, THE SWITCH TARGET GAME,</font>
",0
22,"FOX.1488548580.002Z-1488548640.000Z.ts
","7
","00:00:11,995 --> 00:00:14,164
","<font face=""Monospace"">{\an7}DEVICE, THE SWITCH TARGET GAME,
PLAY AT HOME, ON THE ROAD.</font>
",0
23,"FOX.1488548580.002Z-1488548640.000Z.ts
","8
","00:00:14,164 --> 00:00:18,068
","<font face=""Monospace"">{\an7}PLAY AT HOME, ON THE ROAD.
IT ALSO PROMISES TO INCREASE</font>
",0
24,"FOX.1488548580.002Z-1488548640.000Z.ts
","9
","00:00:18,068 --> 00:00:20,470
","<font face=""Monospace"">{\an7}IT ALSO PROMISES TO INCREASE
FACE-TO-FACE INTERACTION BETWEEN</font>
",0
25,"FOX.1488548580.002Z-1488548640.000Z.ts
","10
","00:00:20,470 --> 00:00:22,973
","<font face=""Monospace"">{\an7}FACE-TO-FACE INTERACTION BETWEEN
GAMERS, BUT THIS THING PROMISES</font>
",0
26,"FOX.1488548580.002Z-1488548640.000Z.ts
","11
","00:00:22,973 --> 00:00:25,175
","<font face=""Monospace"">{\an7}GAMERS, BUT THIS THING PROMISES
TO LET THEM INTERACT</font>
",0
27,"FOX.1488548580.002Z-1488548640.000Z.ts
","12
","00:00:25,175 --> 00:00:26,343
","<font face=""Monospace"">{\an7}TO LET THEM INTERACT
FACE-TO-FACE, BECAUSE A NUMBER</font>
",0
28,"FOX.1488548580.002Z-1488548640.000Z.ts
","13
","00:00:26,343 --> 00:00:28,378
","<font face=""Monospace"">{\an7}FACE-TO-FACE, BECAUSE A NUMBER
OF THE GAMES, YOU HAVE TO BE IN</font>
",0
29,"FOX.1488548580.002Z-1488548640.000Z.ts
","14
","00:00:28,378 --> 00:00:31,314
","<font face=""Monospace"">{\an7}OF THE GAMES, YOU HAVE TO BE IN
FRONT OF SOMEONE, MAKING EYE</font>
",0
30,"FOX.1488548580.002Z-1488548640.000Z.ts
","15
","00:00:31,315 --> 00:00:35,419
","<font face=""Monospace"">{\an7}FRONT OF SOMEONE, MAKING EYE
CONTACT AND USE THE SWITCH, LIKE</font>
",0
31,"FOX.1488548580.002Z-1488548640.000Z.ts
","16
","00:00:35,419 --> 00:00:37,922
","<font face=""Monospace"">{\an7}CONTACT AND USE THE SWITCH, LIKE
SOME SORT OF SWORD.</font>
",0
32,"FOX.1488548580.002Z-1488548640.000Z.ts
","17
","00:00:37,921 --> 00:00:41,224
","<font face=""Monospace"">{\an7}SOME SORT OF SWORD.
BUT NO AS YOU POINTED OUTS IT IS</font>
",0
33,"FOX.1488548580.002Z-1488548640.000Z.ts
","18
","00:00:41,225 --> 00:00:43,127
","<font face=""Monospace"">{\an7}BUT NO AS YOU POINTED OUTS IT IS
DEFINITELY THE HOTTEST THING IN</font>
",0
34,"FOX.1488548580.002Z-1488548640.000Z.ts
","19
","00:00:43,126 --> 00:00:43,326
","<font face=""Monospace"">{\an7}DEFINITELY THE HOTTEST THING IN
TOWN.</font>
",0
35,"FOX.1488548580.002Z-1488548640.000Z.ts
","20
","00:00:43,327 --> 00:00:46,463
","<font face=""Monospace"">{\an7}TOWN.
SOME IN LINE AS EARLY AS 5:00,</font>
",0
36,"FOX.1488548580.002Z-1488548640.000Z.ts
","21
","00:00:46,463 --> 00:00:48,765
","<font face=""Monospace"">{\an7}SOME IN LINE AS EARLY AS 5:00,
WHERE WHY THEY WERE HERE.</font>
",0
37,"FOX.1488548580.002Z-1488548640.000Z.ts
","22
","00:00:48,765 --> 00:00:51,167
","<font face=""Monospace"">{\an7}WHERE WHY THEY WERE HERE.
HERE’S WHAT A FEW OF YOUR</font>
",0
